Sr. No,Course,Domain,Duration
1,Full Stack Development,Java,6 Months
2,Full Stack Development,Python,6 Months
3,Ethical Hacking,General,3 Months
4,Full Stack Development,Dot Net,6 Months
5,Full Stack Development,MEAN Stack,6 Months
6,Full Stack Development,MERN Stack,6 Months
7,Data Science & Machine Learning,Python,6 Months
8,Data Analytics,Python,4 Months
9,Web Development,HTML/CSS/JS,3 Months
10,Android App Development,Kotlin,3 Months
11,iOS App Development,Swift,3 Months
12,Cloud Computing,AWS,3 Months
13,DevOps,Tools,3 Months
14,Cybersecurity,General,3 Months
15,UI/UX Design,Figma,2 Months
16,Digital Marketing,General,2 Months
17,Artificial Intelligence,Python,4 Months
18,Full Stack Development,PHP,6 Months
